STA,Date,Precip,WindGustSpd,MaxTemp,MinTemp,MeanTemp,Snowfall,PoorWeather,YR,MO,DA,PRCP,DR,SPD,MAX,MIN,MEA,SNF,SND,FT,FB,FTI,ITH,PGT,TSHDSBRSGF,SD3,RHX,RHN,RVG,WTE
43201,1945-12-20,0,,4.444444444,-1.666666667,1.111111111,0,,45,12,20,0,,,40,29,34,0,,,,,,,,,,,,
43201,1945-12-21,0,,2.222222222,-3.888888889,-1.111111111,0,,45,12,21,0,,,36,25,30,0,,,,,,,,,,,,
43201,1945-12-22,0,,1.111111111,-6.666666667,-2.777777778,0,,45,12,22,0,,,34,20,27,0,,,,,,,,,,,,
43201,1945-12-23,0,,-1.666666667,-8.333333333,-5,0,,45,12,23,0,,,29,17,23,0,,,,,,,,,,,,
43201,1945-12-24,0,,2.222222222,-8.888888889,-3.333333333,0,,45,12,24,0,,,36,16,26,0,,,,,,,,,,,,
43201,1945-12-25,0,,0,-10,-5,0,,45,12,25,0,,,32,14,23,0,,,,,,,,,,,,
43201,1945-12-26,0,,6.666666667,-5,1.111111111,0,,45,12,26,0,,,44,23,34,0,,,,,,,,,,,,
43201,1945-12-27,2.286,,3.333333333,-5.555555556,-1.111111111,5.08,1,45,12,27,0.09,,,38,22,30,0.2,,,,,,,,,,,,
43201,1945-12-28,0,,-6.111111111,-11.66666667,-8.888888889,0,,45,12,28,0,,,21,11,16,0,,,,,,,,,,,,
43201,1945-12-29,0,,-7.222222222,-13.88888889,-10.55555556,0,,45,12,29,0,,,19,7,13,0,,,,,,,,,,,,
43201,1945-12-30,T,,-4.444444444,-11.66666667,-7.777777778,7.62,1,45,12,30,T,,,24,11,18,0.3,,,,,,,,,,,,
43201,1945-12-31,T,,-4.444444444,-11.66666667,-7.777777778,2.54,1,45,12,31,T,,,24,11,18,0.1,,,,,,,,,,,,
